igre,disciplina,mesto,ime,drzava,rezultat
Rio 2016,10000m men,1,Mohamed Farah,GBR,27:05.17
Rio 2016,10000m men,2,Paul Kipngetich Tanui,KEN,27:05.64
Rio 2016,10000m men,3,Tamirat Tola,ETH,27:06.26
Rio 2016,10000m men,4,Yigrem Demelash,ETH,27:06.27
Rio 2016,10000m men,5,Galen Rupp,USA,27:08.92
Rio 2016,10000m men,6,Joshua Kiprui Cheptegei,UGA,27:10.06
Rio 2016,10000m men,7,Bedan Karoki Muchiri,KEN,27:22.93
Rio 2016,10000m men,8,Zersenay Tadese,ERI,27:23.86
Rio 2016,10000m men,9,Nguse Amlosom,ERI,27:30.79
Rio 2016,10000m men,10,Abraham Naibei Cheroben,BRN,27:31.86
Rio 2016,10000m men,11,Geoffrey Kipsang Kamworor,KEN,27:31.94
Rio 2016,10000m men,12,Zane Robertson,NZL,27:33.67
Rio 2016,10000m men,13,Polat Kemboi Arikan,TUR,27:35.50
Rio 2016,10000m men,14,Leonard Essau Korir,USA,27:35.65
Rio 2016,10000m men,15,Abadi Hadis,ETH,27:36.34
Rio 2016,10000m men,16,David Mcneill,AUS,27:51.71
Rio 2016,10000m men,17,Suguru Osako,JPN,27:51.94
Rio 2016,10000m men,18,Stephen Mokoka,RSA,27:54.57
Rio 2016,10000m men,19,Shadrack Kipchirchir,USA,27:58.32
Rio 2016,10000m men,20,Bashir Abdi,BEL,28:01.49
Rio 2016,10000m men,21,Luis Ostos,PER,28:02.03
Rio 2016,10000m men,22,Moses Martin Kurong,UGA,28:03.38
Rio 2016,10000m men,23,Timothy Toroitich,UGA,28:04.84
Rio 2016,10000m men,24,Goitom Kifle,ERI,28:15.99
Rio 2016,10000m men,25,Andrew Vernon,GBR,28:19.36
Rio 2016,10000m men,26,El Hassan Elabbassi,BRN,28:20.17
Rio 2016,10000m men,27,Olivier Irabaruta 1,BDI,28:32.75
Rio 2016,10000m men,28,Ben St Lawrence,AUS,28:46.32
Rio 2016,10000m men,29,Yuta Shitara,JPN,28:55.23
Rio 2016,10000m men,30,Kota Murayama,JPN,29:02.51
Rio 2016,10000m men,31,Ross Millington,GBR,29:14.95
Rio 2016,10000m men,32,Mohammed Ahmed,CAN,29:32.84
Rio 2016,100m men,1,Usain Bolt,JAM,9.81
Rio 2016,100m men,2,Justin Gatlin,USA,9.89
Rio 2016,100m men,3,Andre De Grasse,CAN,9.91
Rio 2016,100m men,4,Yohan Blake,JAM,9.93
Rio 2016,100m men,5,Akani Simbine,RSA,9.94
Rio 2016,100m men,6,Ben Youssef Meite,CIV,9.96
Rio 2016,100m men,7,Jimmy Vicaut,FRA,10.04
Rio 2016,100m men,8,Trayvon Bromell,USA,10.06
Rio 2016,110m hurdles men,1,Omar Mcleod,JAM,13.05
Rio 2016,110m hurdles men,2,Orlando Ortega 1,ESP,13.17
Rio 2016,110m hurdles men,3,Dimitri Bascou,FRA,13.24
Rio 2016,110m hurdles men,4,Pascal Martinot Lagarde,FRA,13.29
Rio 2016,110m hurdles men,5,Devon Allen,USA,13.31
Rio 2016,110m hurdles men,6,Johnathan Cabral,CAN,13.40
Rio 2016,110m hurdles men,7,Milan Trajkovic,CYP,13.41
Rio 2016,1500m men,1,Matthew Centrowitz,USA,3:50.00
Rio 2016,1500m men,2,Taoufik Makhloufi,ALG,3:50.11
Rio 2016,1500m men,3,Nicholas Willis,NZL,3:50.24
Rio 2016,1500m men,4,Ayanleh Souleiman,DJI,3:50.29
Rio 2016,1500m men,5,Abdalaati Iguider,MAR,3:50.58
Rio 2016,1500m men,6,Asbel Kipruto Kiprop,KEN,3:50.87
Rio 2016,1500m men,7,David Bustos,ESP,3:51.06
Rio 2016,1500m men,8,Ben Blankenship,USA,3:51.09
Rio 2016,1500m men,9,Ryan Gregson,AUS,3:51.39
Rio 2016,1500m men,10,Nathan Brannen,CAN,3:51.45
Rio 2016,1500m men,11,Ronald Musagala,UGA,3:51.68
Rio 2016,1500m men,12,Charlie Grice,GBR,3:51.73
Rio 2016,1500m men,13,Ronald Kwemoi,KEN,3:56.76
Rio 2016,200m men,1,Usain Bolt,JAM,19.78
Rio 2016,200m men,2,Andre De Grasse,CAN,20.02
Rio 2016,200m men,3,Christophe Lemaitre,FRA,20.12
Rio 2016,200m men,4,Adam Gemili,GBR,20.12
Rio 2016,200m men,5,Churandy Martina,NED,20.13
Rio 2016,200m men,6,Lashawn Merritt,USA,20.19
Rio 2016,200m men,7,Alonso Edward,PAN,20.23
Rio 2016,200m men,8,Ramil Guliyev 1,TUR,20.43
Rio 2016,20km walk men,1,Zhen Wang 1,CHN,1:19:14
Rio 2016,20km walk men,2,Zelin Cai,CHN,1:19:26
Rio 2016,20km walk men,3,Dane Bird Smith,AUS,1:19:37
Rio 2016,20km walk men,4,Caio Bonfim,BRA,1:19:42
Rio 2016,20km walk men,5,Christopher Linke,GER,1:20:00
Rio 2016,20km walk men,6,Tom Bosworth,GBR,1:20:13
Rio 2016,20km walk men,7,Daisuke Matsunaga,JPN,1:20:22
Rio 2016,20km walk men,8,Matteo Giupponi,ITA,1:20:27
Rio 2016,20km walk men,9,Manuel Esteban Soto,COL,1:20:36
Rio 2016,20km walk men,10,Evan Dunfee,CAN,1:20:49
Rio 2016,20km walk men,11,Miguel Angel Lopez,ESP,1:20:58
Rio 2016,20km walk men,12,Inaki Gomez 1,CAN,1:21:12
Rio 2016,20km walk men,13,Manish Singh,IND,1:21:21
Rio 2016,20km walk men,14,Ever Palma,MEX,1:21:24
Rio 2016,20km walk men,15,Eider Arevalo,COL,1:21:36
Rio 2016,20km walk men,16,Ruslan Dmytrenko,UKR,1:21:40
Rio 2016,20km walk men,17,Hyunsub Kim,KOR,1:21:44
Rio 2016,20km walk men,18,Hagen Pohle,GER,1:21:44
Rio 2016,20km walk men,19,Jakub Bogdan Jelonek,POL,1:21:52
Rio 2016,20km walk men,20,Alexandros Papamichail,GRE,1:21:55
Rio 2016,20km walk men,21,Isamu Fujisawa,JPN,1:22:03
Rio 2016,20km walk men,22,Alvaro Martin,ESP,1:22:11
Rio 2016,20km walk men,23,Pedro Daniel Gomez,MEX,1:22:22
Rio 2016,20km walk men,24,Richard Vargas,VEN,1:22:23
Rio 2016,20km walk men,25,Yerko Araya,CHI,1:22:23
Rio 2016,20km walk men,26,Marius Ziukas,LTU,1:22:27
Rio 2016,20km walk men,27,Benjamin Thorne,CAN,1:22:28
Rio 2016,20km walk men,28,Mate Helebrandt,HUN,1:22:31
Rio 2016,20km walk men,29,Luis Fernando Lopez,COL,1:22:32
Rio 2016,20km walk men,30,Ersin Tacir,TUR,1:22:53
Rio 2016,20km walk men,31,Joao Vieira,POR,1:23:03
Rio 2016,20km walk men,32,Anton Kucmin 1,SVK,1:23:17
Rio 2016,20km walk men,33,Rhydian Cowley,AUS,1:23:30
Rio 2016,20km walk men,34,Georgiy Sheiko,KAZ,1:23:31
Rio 2016,20km walk men,35,Igor Glavan,UKR,1:23:32
Rio 2016,20km walk men,36,Hassanine Sebei 1,TUN,1:23:44
Rio 2016,20km walk men,37,Brian Pintado,ECU,1:23:44
Rio 2016,20km walk men,38,Nils Brembach,GER,1:23:46
Rio 2016,20km walk men,39,Ding Chen,CHN,1:23:54
Rio 2016,20km walk men,40,Nazar Kovalenko,UKR,1:24:40
Rio 2016,20km walk men,41,Paolo Yurivilca,PER,1:24:48
Rio 2016,20km walk men,42,Eiki Takahashi,JPN,1:24:59
Rio 2016,20km walk men,43,Aliaksandr Liakhovich,BLR,1:25:04
Rio 2016,20km walk men,44,Lebogang Shange,RSA,1:25:07
Rio 2016,20km walk men,45,Marco Antonio Rodriguez,BOL,1:25:11
Rio 2016,20km walk men,46,Alex Wright,IRL,1:25:25
Rio 2016,20km walk men,47,Artur Brzozowski,POL,1:25:29
Rio 2016,20km walk men,48,Erik Tysse,NOR,1:26:06
Rio 2016,20km walk men,49,Kevin Campion,FRA,1:26:22
Rio 2016,20km walk men,50,Erick Barrondo,GUA,1:27:01
Rio 2016,20km walk men,51,Juan Manuel Cano,ARG,1:27:27
Rio 2016,20km walk men,52,Julio Cesar Salazar,MEX,1:27:38
Rio 2016,20km walk men,53,Sergio Vieira,POR,1:27:39
Rio 2016,20km walk men,54,Hamidreza Zooravand,IRI,1:27:45
Rio 2016,20km walk men,55,Francisco Arcilla,ESP,1:27:50
Rio 2016,20km walk men,56,Jose Maria Raymundo,GUA,1:29:07
Rio 2016,20km walk men,57,Byeongkwang Choe,KOR,1:29:08
Rio 2016,20km walk men,58,Wayne Snyman,RSA,1:29:20
Rio 2016,20km walk men,59,Marius Savelskis,LTU,1:29:26
Rio 2016,20km walk men,60,Thanh Ngung Nguyen,VIE,1:30:01
Rio 2016,20km walk men,61,Youngjun Byun,KOR,1:30:38
Rio 2016,20km walk men,62,Mert Atli,TUR,1:31:36
Rio 2016,20km walk men,63,Moacir Zimmermann,BRA,1:33:58
Rio 2016,3000m steeplechase men,1,Conseslus Kipruto,KEN,8:03.28
Rio 2016,3000m steeplechase men,2,Evan Jager,USA,8:04.28
Rio 2016,3000m steeplechase men,3,Mahiedine Mekhissi,FRA,8:11.52
Rio 2016,3000m steeplechase men,4,Soufiane Elbakkali,MAR,8:14.35
Rio 2016,3000m steeplechase men,5,Yoann Kowal,FRA,8:16.75
Rio 2016,3000m steeplechase men,6,Brimin Kiprop Kipruto,KEN,8:18.79
Rio 2016,3000m steeplechase men,7,Hillary Bor,USA,8:22.74
Rio 2016,3000m steeplechase men,8,Donald Cabral,USA,8:25.81
Rio 2016,3000m steeplechase men,9,Altobeli Da Silva,BRA,8:26.30
Rio 2016,3000m steeplechase men,10,Matthew Hughes 1,CAN,8:36.83
Rio 2016,3000m steeplechase men,11,Yemane Haileselassie,ERI,8:40.68
Rio 2016,400m hurdles men,1,Kerron Clement,USA,47.73
Rio 2016,400m hurdles men,2,Boniface Mucheru,KEN,47.78
Rio 2016,400m hurdles men,3,Yasmani Copello,TUR,47.92
Rio 2016,400m hurdles men,4,Thomas Barr,IRL,47.97
Rio 2016,400m hurdles men,5,Annsert Whyte,JAM,48.07
Rio 2016,400m hurdles men,6,Rasmus Magi,EST,48.40
Rio 2016,400m hurdles men,7,Haron Koech,KEN,49.09
Rio 2016,400m men,1,Wayde Van Niekerk,RSA,43.03
Rio 2016,400m men,2,Kirani James,GRN,43.76
Rio 2016,400m men,3,Lashawn Merritt,USA,43.85
Rio 2016,400m men,4,Machel Cedenio,TTO,44.01
Rio 2016,400m men,5,Karabo Sibanda,BOT,44.25
Rio 2016,400m men,6,Ali Khamis Khamis,BRN,44.36
Rio 2016,400m men,7,Bralon Taplin,GRN,44.45
Rio 2016,400m men,8,Matthew Hudson Smith,GBR,44.61
Rio 2016,4x100m relay men,1,,JAM,37.27
Rio 2016,4x100m relay men,2,,JPN,37.60
Rio 2016,4x100m relay men,3,,CAN,37.64
Rio 2016,4x100m relay men,4,,CHN,37.90
Rio 2016,4x100m relay men,5,,GBR,37.98
Rio 2016,4x100m relay men,6,,BRA,38.41
Rio 2016,4x400m relay men,1,,USA,
Rio 2016,4x400m relay men,2,,JAM,
Rio 2016,4x400m relay men,3,,BAH,
Rio 2016,4x400m relay men,4,,BEL,
Rio 2016,4x400m relay men,5,,BOT,
Rio 2016,4x400m relay men,6,,CUB,
Rio 2016,4x400m relay men,7,,POL,
Rio 2016,4x400m relay men,8,,BRA,
Rio 2016,5000m men,1,Mohamed Farah,GBR,13:03.30
Rio 2016,5000m men,2,Paul Kipkemoi Chelimo,USA,13:03.90
Rio 2016,5000m men,3,Hagos Gebrhiwet,ETH,13:04.35
Rio 2016,5000m men,4,Mohammed Ahmed,CAN,13:05.94
Rio 2016,5000m men,5,Bernard Lagat 1,USA,13:06.78
Rio 2016,5000m men,6,Andrew Butchart,GBR,13:08.61
Rio 2016,5000m men,7,Albert Kibichii Rop,BRN,13:08.79
Rio 2016,5000m men,8,Joshua Kiprui Cheptegei,UGA,13:09.17
Rio 2016,5000m men,9,Birhanu Balew,BRN,13:09.26
Rio 2016,5000m men,10,Abrar Osman Adem,ERI,13:09.56
Rio 2016,5000m men,11,Hassan Mead,USA,13:09.81
Rio 2016,5000m men,12,Dejen Gebremeskel,ETH,13:15.91
Rio 2016,5000m men,13,Elroy Gelant,RSA,13:17.47
Rio 2016,5000m men,14,Brett Robinson,AUS,13:32.30
Rio 2016,5000m men,15,David Torrence 1,PER,13:43.12
Rio 2016,50km walk men,1,Matej Toth,SVK,3:40:58
Rio 2016,50km walk men,2,Jared Tallent,AUS,3:41:16
Rio 2016,50km walk men,3,Hirooki Arai,JPN,3:41:24
Rio 2016,50km walk men,4,Evan Dunfee,CAN,3:41:38
Rio 2016,50km walk men,5,Wei Yu,CHN,3:43:00
Rio 2016,50km walk men,6,Robert Heffernan,IRL,3:43:55
Rio 2016,50km walk men,7,Havard Haukenes,NOR,3:46:33
Rio 2016,50km walk men,8,Yohann Diniz,FRA,3:46:43
Rio 2016,50km walk men,9,Caio Bonfim,BRA,3:47:02
Rio 2016,50km walk men,10,Chris Erickson,AUS,3:48:40
Rio 2016,50km walk men,11,Zhendong Wang,CHN,3:48:50
Rio 2016,50km walk men,12,Quentin Rew,NZL,3:49:32
Rio 2016,50km walk men,13,Horacio Nava,MEX,3:50:53
Rio 2016,50km walk men,14,Takayuki Tanii,JPN,3:51:00
Rio 2016,50km walk men,15,Adrian Blocki,POL,3:51:31
Rio 2016,50km walk men,16,Omar Zepeda,MEX,3:51:35
Rio 2016,50km walk men,17,Jorge Armando Ruiz,COL,3:51:42
Rio 2016,50km walk men,18,Serhiy Budza,UKR,3:53:22
Rio 2016,50km walk men,19,Brendan Boyce,IRL,3:53:59
Rio 2016,50km walk men,20,A Jesus Garcia,ESP,3:54:29
Rio 2016,50km walk men,21,Marco De Luca,ITA,3:54:40
Rio 2016,50km walk men,22,Rafal Augustyn,POL,3:55:01
Rio 2016,50km walk men,23,Jarkko Kinnunen,FIN,3:55:43
Rio 2016,50km walk men,24,Rafal Fedaczynski,POL,3:55:51
Rio 2016,50km walk men,25,Jose Leyver Ojeda,MEX,3:56:07
Rio 2016,50km walk men,26,Dusan Majdan,SVK,3:58:25
Rio 2016,50km walk men,27,Koichiro Morioka,JPN,3:58:59
Rio 2016,50km walk men,28,Alexandros Papamichail,GRE,3:59:21
Rio 2016,50km walk men,29,Jonathan Riekmann,BRA,4:01:52
Rio 2016,50km walk men,30,Ronal Quispe,BOL,4:02:00
Rio 2016,50km walk men,31,Narcis Stefan Mihaila,ROU,4:02:46
Rio 2016,50km walk men,32,Pedro Isidro,POR,4:03:42
Rio 2016,50km walk men,33,Tadas Suskevicius,LTU,4:04:10
Rio 2016,50km walk men,34,Rolando Saquipay,ECU,4:07:29
Rio 2016,50km walk men,35,Sandeep Kumar 3,IND,4:07:55
Rio 2016,50km walk men,36,Miguel Carvalho,POR,4:08:16
Rio 2016,50km walk men,37,Arnis Rumbenieks,LAT,4:08:28
Rio 2016,50km walk men,38,Marc Mundell,RSA,4:11:03
Rio 2016,50km walk men,39,Ivan Banzeruk,UKR,4:11:51
Rio 2016,50km walk men,40,Brendon Reading,AUS,4:13:02
Rio 2016,50km walk men,41,Mario Alfonso Bran,GUA,4:15:14
Rio 2016,50km walk men,42,Vladimir Savanovic,SRB,4:15:53
Rio 2016,50km walk men,43,John Nunn 1,USA,4:16:12
Rio 2016,50km walk men,44,Bence Venyercsan,HUN,4:19:15
Rio 2016,50km walk men,45,Claudio Villanueva 1,ECU,4:19:33
Rio 2016,50km walk men,46,Nenad Filipovic,SRB,4:25:41
Rio 2016,50km walk men,47,Yucheng Han,CHN,4:32:35
Rio 2016,50km walk men,48,Pavel Chihuan,PER,4:32:37
Rio 2016,50km walk men,49,Predrag Filipovic,SRB,4:39:48
Rio 2016,800m men,1,David Lekuta Rudisha,KEN,1:42.15
Rio 2016,800m men,2,Taoufik Makhloufi,ALG,1:42.61
Rio 2016,800m men,3,Clayton Murphy,USA,1:42.93
Rio 2016,800m men,4,Pierre Ambroise Bosse,FRA,1:43.41
Rio 2016,800m men,5,Ferguson Cheruiyot Rotich,KEN,1:43.55
Rio 2016,800m men,6,Marcin Lewandowski,POL,1:44.20
Rio 2016,800m men,7,Alfred Kipketer,KEN,1:46.02
Rio 2016,800m men,8,Boris Berian,USA,1:46.15
Rio 2016,decathlon men,1,Ashton Eaton,USA,8893
Rio 2016,decathlon men,2,Kevin Mayer,FRA,8834
Rio 2016,decathlon men,3,Damian Warner,CAN,8666
Rio 2016,decathlon men,4,Kai Kazmirek,GER,8580
Rio 2016,decathlon men,5,Larbi Bourrada,ALG,8521
Rio 2016,decathlon men,6,Leonel Suarez,CUB,8460
Rio 2016,decathlon men,7,Zach Ziemek,USA,8392
Rio 2016,decathlon men,8,Thomas Van Der Plaetsen,BEL,8332
Rio 2016,decathlon men,9,Kurt Felix,GRN,8323
Rio 2016,decathlon men,10,Luiz Alberto De Araujo,BRA,8315
Rio 2016,decathlon men,11,Jeremy Taiwo,USA,8300
Rio 2016,decathlon men,12,Adam Sebastian Helcelet,CZE,8291
Rio 2016,decathlon men,13,Bastien Auzeil,FRA,8064
Rio 2016,decathlon men,14,Cedric Dubler,AUS,8024
Rio 2016,decathlon men,15,Arthur Abele,GER,8013
Rio 2016,decathlon men,16,Lindon Victor,GRN,7998
Rio 2016,decathlon men,17,Pau Tonnesen,ESP,7982
Rio 2016,decathlon men,18,Yordani Garcia,CUB,7961
Rio 2016,decathlon men,19,Dominik Distelberger,AUT,7954
Rio 2016,decathlon men,20,Keisuke Ushiro,JPN,7952
Rio 2016,decathlon men,21,Pawel Wiesiolek,POL,7784
Rio 2016,decathlon men,22,Akihiko Nakamura,JPN,7612
Rio 2016,decathlon men,23,Karl Robert Saluri,EST,7223
Rio 2016,decathlon men,24,Maicel Uibo,EST,7170
Rio 2016,decathlon men,25,Jiri Sykora 1,CZE,6237
Rio 2016,discus throw men,1,Christoph Harting,GER,68.37
Rio 2016,discus throw men,2,Piotr Malachowski,POL,67.55
Rio 2016,discus throw men,3,Daniel Jasinski,GER,67.05
Rio 2016,discus throw men,4,Martin Kupper,EST,66.58
Rio 2016,discus throw men,5,Gerd Kanter,EST,65.10
Rio 2016,discus throw men,6,Lukas Weisshaidinger,AUT,64.95
Rio 2016,discus throw men,7,Zoltan Kovago,HUN,64.50
Rio 2016,discus throw men,8,Apostolos Parellis,CYP,63.72
Rio 2016,discus throw men,9,Philip Milanov,BEL,62.22
Rio 2016,discus throw men,10,Axel Harstedt,SWE,62.12
Rio 2016,discus throw men,11,Mason Finley,USA,62.05
Rio 2016,discus throw men,12,Andrius Gudzius,LTU,60.66
Rio 2016,hammer throw men,1,Dilshod Nazarov,TJK,78.68
Rio 2016,hammer throw men,2,Ivan Tsikhan,BLR,77.79
Rio 2016,hammer throw men,3,Wojciech Nowicki,POL,77.73
Rio 2016,hammer throw men,4,Diego Del Real,MEX,76.05
Rio 2016,hammer throw men,5,Marcel Lomnicky,SVK,75.97
Rio 2016,hammer throw men,6,Ashraf Amgad Elseify,QAT,75.46
Rio 2016,hammer throw men,7,Krisztian Pars,HUN,75.28
Rio 2016,hammer throw men,8,David Soderberg,FIN,74.61
Rio 2016,hammer throw men,9,Siarhei Kalamoyets,BLR,74.22
Rio 2016,hammer throw men,10,Serghei Marghiev,MDA,74.14
Rio 2016,hammer throw men,11,Yevhen Vynohradov,UKR,74.11
Rio 2016,hammer throw men,12,Wagner Domingos,BRA,72.28
Rio 2016,high jump men,1,Derek Drouin,CAN,2.38
Rio 2016,high jump men,2,Mutaz Essa Barshim,QAT,2.36
Rio 2016,high jump men,3,Bohdan Bondarenko,UKR,2.33
Rio 2016,high jump men,4,Robert Grabarz,GBR,2.33
Rio 2016,high jump men,6,Erik Kynard,USA,2.33
Rio 2016,high jump men,7,Majd Eddin Ghazal,SYR,2.29
Rio 2016,high jump men,10,Tikhomir Ivanov,BUL,2.29
Rio 2016,high jump men,11,Trevor Barry,BAH,2.25
Rio 2016,high jump men,12,Dimitrios Chondrokoukis 1,CYP,2.25
Rio 2016,high jump men,13,Luis Joel Castro,PUR,2.25
Rio 2016,high jump men,14,Jaroslav Baba,CZE,2.20
Rio 2016,high jump men,15,Brandon Starc,AUS,2.20
Rio 2016,javelin throw men,1,Thomas Rohler,GER,
Rio 2016,javelin throw men,2,Julius Yego,KEN,
Rio 2016,javelin throw men,3,Keshorn Walcott,TTO,
Rio 2016,javelin throw men,4,Johannes Vetter,GER,
Rio 2016,javelin throw men,5,Dmytro Kosynskyy,UKR,
Rio 2016,javelin throw men,6,Antti Ruuskanen,FIN,
Rio 2016,javelin throw men,7,Vitezslav Vesely,CZE,
Rio 2016,javelin throw men,8,Jakub Vadlejch,CZE,
Rio 2016,long jump men,1,Jeff Henderson,USA,8.38
Rio 2016,long jump men,2,Luvo Manyonga,RSA,8.37
Rio 2016,long jump men,3,Greg Rutherford,GBR,8.29
Rio 2016,long jump men,4,Jarrion Lawson,USA,8.25
Rio 2016,long jump men,5,Jianan Wang 1,CHN,8.17
Rio 2016,long jump men,6,Emiliano Lasa,URU,8.10
Rio 2016,long jump men,7,Henry Frayne,AUS,8.06
Rio 2016,long jump men,8,Kafetien Gomis,FRA,8.05
Rio 2016,long jump men,9,Rushwal Samaai,RSA,7.97
Rio 2016,long jump men,10,Fabrice Lapierre,AUS,7.87
Rio 2016,long jump men,11,Changzhou Huang,CHN,7.86
Rio 2016,long jump men,12,Damar Forbes 1,JAM,7.82
Rio 2016,marathon men,1,Eliud Kipchoge Rotich,KEN,2:08:44
Rio 2016,marathon men,2,Feyisa Lilesa,ETH,2:09:54
Rio 2016,marathon men,3,Galen Rupp,USA,2:10:05
Rio 2016,marathon men,4,Ghirmay Ghebreslassie,ERI,2:11:04
Rio 2016,marathon men,5,Alphonce Felix Simbu,TAN,2:11:15
Rio 2016,marathon men,6,Jared Ward,USA,2:11:30
Rio 2016,marathon men,7,Tadesse Abraham,SUI,2:11:42
Rio 2016,marathon men,8,Munyo Solomon Mutai,UGA,2:11:49
Rio 2016,marathon men,9,Callum Hawkins,GBR,2:11:52
Rio 2016,marathon men,10,Eric Gillis,CAN,2:12:29
Rio 2016,marathon men,11,Abdi Nageeye,NED,2:13:01
Rio 2016,marathon men,12,Mumin Gala,DJI,2:13:04
Rio 2016,marathon men,13,Lemi Berhanu,ETH,2:13:29
Rio 2016,marathon men,14,Stephen Kiprotich,UGA,2:13:32
Rio 2016,marathon men,15,Paulo Roberto Paula,BRA,2:13:56
Rio 2016,marathon men,16,Satoru Sasaki,JPN,2:13:57
Rio 2016,marathon men,17,Kaan Kigen Ozbilen,TUR,2:14:11
Rio 2016,marathon men,18,Bayron Piedra,ECU,2:14:12
Rio 2016,marathon men,19,Sondre Nordstad Moen,NOR,2:14:17
Rio 2016,marathon men,20,Oleksandr Sitkovskyy,UKR,2:14:24
Rio 2016,marathon men,21,Amanuel Mesel,ERI,2:14:37
Rio 2016,marathon men,22,Koen Naert,BEL,2:14:53
Rio 2016,marathon men,23,Reid Coolsaet,CAN,2:14:58
Rio 2016,marathon men,24,Lusapho April,RSA,2:15:24
Rio 2016,marathon men,25,Thanackal Gopi,IND,2:15:25
Rio 2016,marathon men,26,Kheta Ram,IND,2:15:26
Rio 2016,marathon men,27,Chol Pak,PRK,2:15:27
Rio 2016,marathon men,28,Evans Kiplagat Barkowet,AZE,2:15:31
Rio 2016,marathon men,29,Guojian Dong,CHN,2:15:32
Rio 2016,marathon men,30,Ihor Olefirenko,UKR,2:15:36
Rio 2016,marathon men,31,Liam Adams,AUS,2:16:12
Rio 2016,marathon men,32,Paul Pollock,IRL,2:16:24
Rio 2016,marathon men,33,Mebrahtom Keflezighi,USA,2:16:46
Rio 2016,marathon men,34,Anuradha Indrajith Cooray,SRI,2:17:06
Rio 2016,marathon men,35,Abdi Hakin Ulad,DEN,2:17:06
Rio 2016,marathon men,36,Suehiro Ishikawa,JPN,2:17:08
Rio 2016,marathon men,37,Marius Ionescu,ROU,2:17:27
Rio 2016,marathon men,38,Ruggero Pertile,ITA,2:17:30
Rio 2016,marathon men,39,Artur Kozlowski,POL,2:17:34
Rio 2016,marathon men,40,Nicolas Cuestas,URU,2:17:44
Rio 2016,marathon men,41,Pardon Ndhlovu,ZIM,2:17:48
Rio 2016,marathon men,42,Victor Aravena,CHI,2:17:49
Rio 2016,marathon men,43,Saidi Juma Makula,TAN,2:17:49
Rio 2016,marathon men,44,Florent Caelen,BEL,2:17:59
Rio 2016,marathon men,45,Raul Machacuay,PER,2:18:00
Rio 2016,marathon men,46,Richer Perez,CUB,2:18:05
Rio 2016,marathon men,47,Michael Shelley,AUS,2:18:06
Rio 2016,marathon men,48,Ihor Russ,UKR,2:18:19
Rio 2016,marathon men,49,Carles Castillejo,ESP,2:18:34
Rio 2016,marathon men,50,Ernesto Andres Zamora,URU,2:18:36
Rio 2016,marathon men,51,Ercan Muslu,TUR,2:18:40
Rio 2016,marathon men,52,Cristhian Pacheco,PER,2:18:41
Rio 2016,marathon men,53,Mariano Mastromarino,ARG,2:18:44
Rio 2016,marathon men,54,Daniel Vargas,MEX,2:18:51
Rio 2016,marathon men,55,Philipp Pflieger,GER,2:18:56
Rio 2016,marathon men,56,Willem Van Schuerbeeck,BEL,2:18:56
Rio 2016,marathon men,57,Stefano La Rosa,ITA,2:18:57
Rio 2016,marathon men,58,Cuthbert Nyasango,ZIM,2:18:58
Rio 2016,marathon men,59,Marilson Dos Santos,BRA,2:19:09
Rio 2016,marathon men,60,Tewelde Estifanos,ERI,2:19:12
Rio 2016,marathon men,61,Roman Fosti,EST,2:19:26
Rio 2016,marathon men,62,Atef Saad,TUN,2:19:50
Rio 2016,marathon men,63,Tiidrek Nurme,EST,2:20:01
Rio 2016,marathon men,64,Kevin Seaward,IRL,2:20:06
Rio 2016,marathon men,65,Jesus Espana 1,ESP,2:20:08
Rio 2016,marathon men,66,Raul Pacheco,PER,2:20:13
Rio 2016,marathon men,67,Juan Carlos Trujillo,GUA,2:20:24
Rio 2016,marathon men,68,Abdelmajid El Hissouf,MAR,2:20:29
Rio 2016,marathon men,69,Stsiapan Rahautsou,BLR,2:20:34
Rio 2016,marathon men,70,Mynhardt Mbeumuna Kawanivi,NAM,2:20:45
Rio 2016,marathon men,71,Julian Flugel,GER,2:20:47
Rio 2016,marathon men,72,Daviti Kharazishvili,GEO,2:20:47
Rio 2016,marathon men,73,Rachid Kisri,MAR,2:21:00
Rio 2016,marathon men,74,Maru Teferi,ISR,2:21:06
Rio 2016,marathon men,75,Remigijus Kancys,LTU,2:21:10
Rio 2016,marathon men,76,Christian Kreienbuhl,SUI,2:21:13
Rio 2016,marathon men,77,Mohamed Hrezi,LBA,2:21:17
Rio 2016,marathon men,78,Solonei Da Silva,BRA,2:22:05
Rio 2016,marathon men,79,Andres Ruiz,COL,2:22:09
Rio 2016,marathon men,80,Jackson Kiprop,UGA,2:22:09
Rio 2016,marathon men,81,Scott Westcott,AUS,2:22:19
Rio 2016,marathon men,82,Guor Marial 1,SSD,2:22:45
Rio 2016,marathon men,83,Uladzislau Pramau,BLR,2:22:48
Rio 2016,marathon men,84,Nitendra Singh,IND,2:22:52
Rio 2016,marathon men,85,Miguel Angel Almachi,ECU,2:23:00
Rio 2016,marathon men,86,Ilya Tiapkin,KGZ,2:23:19
Rio 2016,marathon men,87,Gabor Jozsa,HUN,2:23:22
Rio 2016,marathon men,88,Gerald Giraldo,COL,2:23:48
Rio 2016,marathon men,89,Luis Ariel Molina,ARG,2:23:55
Rio 2016,marathon men,90,Yonas Kinde,ROT,2:24:08
Rio 2016,marathon men,91,Duobujie,CHN,2:24:22
Rio 2016,marathon men,92,Ser Od Bat Ochir,MGL,2:24:26
